"Package","Version","Source"
"renv","0.8.2","CRAN"
"base","3.6.0","Unknown/Local"
"codetools","0.2-20","CRAN"
"compiler","3.6.0","Unknown/Local"
"datasets","3.6.0","Unknown/Local"
"graphics","3.6.0","Unknown/Local"
"grDevices","3.6.0","Unknown/Local"
"grid","3.6.0","Unknown/Local"
"methods","3.6.0","Unknown/Local"
"parallel","3.6.0","Unknown/Local"
"splines","3.6.0","Unknown/Local"
"stats","3.6.0","Unknown/Local"
"stats4","3.6.0","Unknown/Local"
"tcltk","3.6.0","Unknown/Local"
"tools","3.6.0","Unknown/Local"
"utils","3.6.0","Unknown/Local"
