Package	Version	Source	RemoteType	RemoteRepo	RemoteUsername	RemoteRef	RemoteSha
base	3.6.0	System/Manual	NA	NA	NA	NA	NA
BiocGenerics	0.32.0	System/Manual	NA	NA	NA	NA	NA
BiocManager	1.30.27	CRAN	NA	NA	NA	NA	NA
BiocVersion	3.10.1	System/Manual	NA	NA	NA	NA	NA
brew	1.0-10	CRAN	NA	NA	NA	NA	NA
codetools	0.2-20	CRAN	NA	NA	NA	NA	NA
compiler	3.6.0	System/Manual	NA	NA	NA	NA	NA
datasets	3.6.0	System/Manual	NA	NA	NA	NA	NA
DBI	1.2.3	CRAN	NA	NA	NA	NA	NA
devtools	2.4.1	CRAN	NA	NA	NA	NA	NA
ellipse	0.5.0	CRAN	NA	NA	NA	NA	NA
evaluate	1.0.5	CRAN	NA	NA	NA	NA	NA
graphics	3.6.0	System/Manual	NA	NA	NA	NA	NA
grDevices	3.6.0	System/Manual	NA	NA	NA	NA	NA
grid	3.6.0	System/Manual	NA	NA	NA	NA	NA
limma	3.42.2	System/Manual	NA	NA	NA	NA	NA
methods	3.6.0	System/Manual	NA	NA	NA	NA	NA
parallel	3.6.0	System/Manual	NA	NA	NA	NA	NA
pkgconfig	2.0.3	CRAN	NA	NA	NA	NA	NA
plogr	0.2.0	CRAN	NA	NA	NA	NA	NA
R6	2.6.1	CRAN	NA	NA	NA	NA	NA
remotes	2.3.0	CRAN	NA	NA	NA	NA	NA
rprojroot	2.1.1	CRAN	NA	NA	NA	NA	NA
splines	3.6.0	System/Manual	NA	NA	NA	NA	NA
stats	3.6.0	System/Manual	NA	NA	NA	NA	NA
stats4	3.6.0	System/Manual	NA	NA	NA	NA	NA
tcltk	3.6.0	System/Manual	NA	NA	NA	NA	NA
tools	3.6.0	System/Manual	NA	NA	NA	NA	NA
utils	3.6.0	System/Manual	NA	NA	NA	NA	NA
withr	3.0.2	CRAN	NA	NA	NA	NA	NA
