Package	Version	Source	RemoteType	RemoteRepo	RemoteUsername	RemoteRef	RemoteSha
abind	1.4-8	CRAN	NA	NA	NA	NA	NA
actuar	3.3-6	CRAN	NA	NA	NA	NA	NA
ade4	1.7-23	CRAN	NA	NA	NA	NA	NA
AER	1.2-15	CRAN	NA	NA	NA	NA	NA
affy	1.88.0	Bioconductor 3.22	NA	NA	NA	NA	NA
affydata	1.58.0	Bioconductor 3.22	NA	NA	NA	NA	NA
affyio	1.80.0	Bioconductor 3.22	NA	NA	NA	NA	NA
aggregation	1.0.1	CRAN	NA	NA	NA	NA	NA
AIMS	1.42.0	Bioconductor 3.22	NA	NA	NA	NA	NA
alabaster.base	1.10.0	Bioconductor 3.22	NA	NA	NA	NA	NA
alabaster.matrix	1.10.0	Bioconductor 3.22	NA	NA	NA	NA	NA
alabaster.ranges	1.10.0	Bioconductor 3.22	NA	NA	NA	NA	NA
alabaster.sce	1.10.0	Bioconductor 3.22	NA	NA	NA	NA	NA
alabaster.schemas	1.10.0	Bioconductor 3.22	NA	NA	NA	NA	NA
alabaster.se	1.10.0	Bioconductor 3.22	NA	NA	NA	NA	NA
altdoc	0.7.0	CRAN	NA	NA	NA	NA	NA
amap	0.8-20	CRAN	NA	NA	NA	NA	NA
Amelia	1.8.3	CRAN	NA	NA	NA	NA	NA
annotate	1.88.0	Bioconductor 3.22	NA	NA	NA	NA	NA
AnnotationDbi	1.72.0	Bioconductor 3.22	NA	NA	NA	NA	NA
AnnotationFilter	1.34.0	Bioconductor 3.22	NA	NA	NA	NA	NA
AnnotationForge	1.52.0	Bioconductor 3.22	NA	NA	NA	NA	NA
AnnotationHub	4.0.0	Bioconductor 3.22	NA	NA	NA	NA	NA
ape	5.8-1	CRAN	NA	NA	NA	NA	NA
argparse	2.3.1	CRAN	NA	NA	NA	NA	NA
argparser	0.7.2	CRAN	NA	NA	NA	NA	NA
arrow	22.0.0.1	CRAN	NA	NA	NA	NA	NA
AsioHeaders	1.30.2-1	CRAN	NA	NA	NA	NA	NA
askpass	1.2.1	CRAN	NA	NA	NA	NA	NA
assertthat	0.2.1	CRAN	NA	NA	NA	NA	NA
assorthead	1.4.0	Bioconductor 3.22	NA	NA	NA	NA	NA
audio	0.1-12	CRAN	NA	NA	NA	NA	NA
babelgene	22.9	CRAN	NA	NA	NA	NA	NA
backports	1.5.0	CRAN	NA	NA	NA	NA	NA
base	4.5.2	System/Manual	NA	NA	NA	NA	NA
base64enc	0.1-3	CRAN	NA	NA	NA	NA	NA
base64url	1.4	CRAN	NA	NA	NA	NA	NA
bayesplot	1.15.0	CRAN	NA	NA	NA	NA	NA
bayestestR	0.17.0	CRAN	NA	NA	NA	NA	NA
BayesX	0.3-3	CRAN	NA	NA	NA	NA	NA
bbmle	1.0.25.1	CRAN	NA	NA	NA	NA	NA
bdsmatrix	1.3-7	CRAN	NA	NA	NA	NA	NA
beachmat	2.26.0	Bioconductor 3.22	NA	NA	NA	NA	NA
bedr	1.1.3	CRAN	NA	NA	NA	NA	NA
beepr	2.0	CRAN	NA	NA	NA	NA	NA
beeswarm	0.4.0	CRAN	NA	NA	NA	NA	NA
betareg	3.2-4	CRAN	NA	NA	NA	NA	NA
BH	1.90.0-1	CRAN	NA	NA	NA	NA	NA
bigD	0.3.1	CRAN	NA	NA	NA	NA	NA
bigmemory	4.6.4	CRAN	NA	NA	NA	NA	NA
bigmemory.sri	0.1.8	CRAN	NA	NA	NA	NA	NA
Biobase	2.70.0	Bioconductor 3.22	NA	NA	NA	NA	NA
BiocBaseUtils	1.12.0	Bioconductor 3.22	NA	NA	NA	NA	NA
BiocFileCache	3.0.0	Bioconductor 3.22	NA	NA	NA	NA	NA
BiocGenerics	0.56.0	Bioconductor 3.22	NA	NA	NA	NA	NA
BiocIO	1.20.0	Bioconductor 3.22	NA	NA	NA	NA	NA
biocmake	1.2.0	Bioconductor 3.22	NA	NA	NA	NA	NA
BiocManager	1.30.27	CRAN	NA	NA	NA	NA	NA
BiocNeighbors	2.4.0	Bioconductor 3.22	NA	NA	NA	NA	NA
BiocParallel	1.44.0	Bioconductor 3.22	NA	NA	NA	NA	NA
BiocSingular	1.26.1	Bioconductor 3.22	NA	NA	NA	NA	NA
BiocStyle	2.38.0	Bioconductor 3.22	NA	NA	NA	NA	NA
BiocVersion	3.22.0	Bioconductor 3.22	NA	NA	NA	NA	NA
biomaRt	2.66.0	Bioconductor 3.22	NA	NA	NA	NA	NA
Biostrings	2.78.0	Bioconductor 3.22	NA	NA	NA	NA	NA
biovizBase	1.58.0	Bioconductor 3.22	NA	NA	NA	NA	NA
bit	4.6.0	CRAN	NA	NA	NA	NA	NA
bit64	4.6.0-1	CRAN	NA	NA	NA	NA	NA
bitops	1.0-9	CRAN	NA	NA	NA	NA	NA
blme	1.0-6	CRAN	NA	NA	NA	NA	NA
blob	1.2.4	CRAN	NA	NA	NA	NA	NA
bluster	1.20.0	Bioconductor 3.22	NA	NA	NA	NA	NA
BMisc	1.4.8	CRAN	NA	NA	NA	NA	NA
bookdown	0.46	CRAN	NA	NA	NA	NA	NA
boot	1.3-32	CRAN	NA	NA	NA	NA	NA
bootstrap	2019.6	CRAN	NA	NA	NA	NA	NA
breastCancerMAINZ	1.48.0	Bioconductor 3.22	NA	NA	NA	NA	NA
breastCancerNKI	1.48.0	Bioconductor 3.22	NA	NA	NA	NA	NA
breastCancerTRANSBIG	1.48.0	Bioconductor 3.22	NA	NA	NA	NA	NA
breastCancerUNT	1.48.0	Bioconductor 3.22	NA	NA	NA	NA	NA
breastCancerUPP	1.48.0	Bioconductor 3.22	NA	NA	NA	NA	NA
breastCancerVDX	1.48.0	Bioconductor 3.22	NA	NA	NA	NA	NA
brew	1.0-10	CRAN	NA	NA	NA	NA	NA
brglm	0.7.3	CRAN	NA	NA	NA	NA	NA
brglm2	1.0.1	CRAN	NA	NA	NA	NA	NA
bridgesampling	1.2-1	CRAN	NA	NA	NA	NA	NA
brio	1.1.5	CRAN	NA	NA	NA	NA	NA
brms	2.23.0	CRAN	NA	NA	NA	NA	NA
Brobdingnag	1.2-9	CRAN	NA	NA	NA	NA	NA
broom	1.0.11	CRAN	NA	NA	NA	NA	NA
broom.mixed	0.2.9.6	CRAN	NA	NA	NA	NA	NA
BSgenome	1.78.0	Bioconductor 3.22	NA	NA	NA	NA	NA
BSgenome.Cfamiliaris.UCSC.canFam3	1.4.0	System/Manual	NA	NA	NA	NA	NA
BSgenome.Hsapiens.1000genomes.hs37d5	0.99.1	System/Manual	NA	NA	NA	NA	NA
BSgenome.Hsapiens.NCBI.GRCh38	1.3.1000	System/Manual	NA	NA	NA	NA	NA
BSgenome.Hsapiens.UCSC.hg19	1.4.3	System/Manual	NA	NA	NA	NA	NA
BSgenome.Hsapiens.UCSC.hg38	1.4.5	System/Manual	NA	NA	NA	NA	NA
BSgenome.Mmusculus.UCSC.mm10	1.4.3	System/Manual	NA	NA	NA	NA	NA
bslib	0.9.0	CRAN	NA	NA	NA	NA	NA
ca	0.71.1	CRAN	NA	NA	NA	NA	NA
cachem	1.1.0	CRAN	NA	NA	NA	NA	NA
Cairo	1.7-0	CRAN	NA	NA	NA	NA	NA
callr	3.7.6	CRAN	NA	NA	NA	NA	NA
car	3.1-3	CRAN	NA	NA	NA	NA	NA
carData	3.0-5	CRAN	NA	NA	NA	NA	NA
caret	7.0-1	CRAN	NA	NA	NA	NA	NA
Category	2.76.0	Bioconductor 3.22	NA	NA	NA	NA	NA
caTools	1.18.3	CRAN	NA	NA	NA	NA	NA
celldex	1.20.0	Bioconductor 3.22	NA	NA	NA	NA	NA
cellranger	1.1.0	CRAN	NA	NA	NA	NA	NA
chandwich	1.1.6	CRAN	NA	NA	NA	NA	NA
checkmate	2.3.3	CRAN	NA	NA	NA	NA	NA
chicane	0.1.8	CRAN	NA	NA	NA	NA	NA
chromote	0.5.1	CRAN	NA	NA	NA	NA	NA
chron	2.3-62	CRAN	NA	NA	NA	NA	NA
cigarillo	1.0.0	Bioconductor 3.22	NA	NA	NA	NA	NA
circlize	0.4.17	CRAN	NA	NA	NA	NA	NA
class	7.3-23	CRAN	NA	NA	NA	NA	NA
classInt	0.4-11	CRAN	NA	NA	NA	NA	NA
cleanrmd	0.1.1	CRAN	NA	NA	NA	NA	NA
cli	3.6.5	CRAN	NA	NA	NA	NA	NA
clipr	0.8.0	CRAN	NA	NA	NA	NA	NA
clock	0.7.3	CRAN	NA	NA	NA	NA	NA
clonevol	0.99.11	System/Manual	url	NA	NA	NA	NA
clubSandwich	0.6.1	CRAN	NA	NA	NA	NA	NA
cluster	2.1.8.1	CRAN	NA	NA	NA	NA	NA
coda	0.19-4.1	CRAN	NA	NA	NA	NA	NA
codetools	0.2-20	CRAN	NA	NA	NA	NA	NA
coin	1.4-3	CRAN	NA	NA	NA	NA	NA
collapse	2.1.5	CRAN	NA	NA	NA	NA	NA
colorspace	2.1-2	CRAN	NA	NA	NA	NA	NA
colourpicker	1.3.0	CRAN	NA	NA	NA	NA	NA
combinat	0.0-8	CRAN	NA	NA	NA	NA	NA
commonmark	2.0.0	CRAN	NA	NA	NA	NA	NA
compiler	4.5.2	System/Manual	NA	NA	NA	NA	NA
CompQuadForm	1.4.4	CRAN	NA	NA	NA	NA	NA
conflicted	1.2.0	CRAN	NA	NA	NA	NA	NA
conquer	1.3.3	CRAN	NA	NA	NA	NA	NA
copynumber	1.15.0	System/Manual	url	NA	NA	NA	NA
correlation	0.8.8	CRAN	NA	NA	NA	NA	NA
corrplot	0.95	CRAN	NA	NA	NA	NA	NA
countreg	0.3-0	R-Forge	NA	NA	NA	NA	NA
covr	3.6.5	CRAN	NA	NA	NA	NA	NA
cowplot	1.2.0	CRAN	NA	NA	NA	NA	NA
cpp11	0.5.2	CRAN	NA	NA	NA	NA	NA
crayon	1.5.3	CRAN	NA	NA	NA	NA	NA
credentials	2.0.3	CRAN	NA	NA	NA	NA	NA
crosstalk	1.2.2	CRAN	NA	NA	NA	NA	NA
crul	1.6.0	CRAN	NA	NA	NA	NA	NA
cubature	2.1.4-1	CRAN	NA	NA	NA	NA	NA
curl	7.0.0	CRAN	NA	NA	NA	NA	NA
cvar	0.6	CRAN	NA	NA	NA	NA	NA
data.table	1.17.8	CRAN	NA	NA	NA	NA	NA
data.tree	1.2.0	CRAN	NA	NA	NA	NA	NA
datasets	4.5.2	System/Manual	NA	NA	NA	NA	NA
datawizard	1.3.0	CRAN	NA	NA	NA	NA	NA
DBI	1.2.3	CRAN	NA	NA	NA	NA	NA
dbplyr	2.5.1	CRAN	NA	NA	NA	NA	NA
dbscan	1.2.4	CRAN	NA	NA	NA	NA	NA
dcurver	0.9.3	CRAN	NA	NA	NA	NA	NA
DelayedArray	0.36.0	Bioconductor 3.22	NA	NA	NA	NA	NA
DelayedMatrixStats	1.32.0	Bioconductor 3.22	NA	NA	NA	NA	NA
deldir	2.0-4	CRAN	NA	NA	NA	NA	NA
dendextend	1.19.1	CRAN	NA	NA	NA	NA	NA
DEoptimR	1.1-4	CRAN	NA	NA	NA	NA	NA
Deriv	4.2.0	CRAN	NA	NA	NA	NA	NA
desc	1.4.3	CRAN	NA	NA	NA	NA	NA
DESeq2	1.50.2	Bioconductor 3.22	NA	NA	NA	NA	NA
detectseparation	0.3	CRAN	NA	NA	NA	NA	NA
devtools	2.4.6	CRAN	NA	NA	NA	NA	NA
dfidx	0.2-0	CRAN	NA	NA	NA	NA	NA
diagram	1.6.5	CRAN	NA	NA	NA	NA	NA
DiagrammeR	1.0.11	CRAN	NA	NA	NA	NA	NA
dichromat	2.0-0.1	CRAN	NA	NA	NA	NA	NA
did	2.3.0	CRAN	NA	NA	NA	NA	NA
diffobj	0.3.6	CRAN	NA	NA	NA	NA	NA
digest	0.6.39	CRAN	NA	NA	NA	NA	NA
