package	version	date	location	dependencies
askpass	1.2.1		CRAN	sys
assertthat	0.2.1		CRAN	tools
backports	1.5.0		CRAN	
base64enc	0.1-3		CRAN	
biocmanager	NA		NOT-FOUND	
bit64	4.6.0-1		CRAN	bit,graphics,methods,stats,utils
bit	4.6.0		CRAN	
blob	1.3.0		CRAN	methods,rlang,vctrs
boot	1.3-32		CRAN	graphics,stats
broom	1.0.11		CRAN	backports,cli,dplyr,generics,glue,lifecycle,purrr,rlang,stringr,tibble,tidyr
bslib	0.9.0		CRAN	base64enc,cachem,fastmap,grDevices,htmltools,jquerylib,jsonlite,lifecycle,memoise,mime,rlang,sass
cachem	1.1.0		CRAN	rlang,fastmap
callr	3.7.6		CRAN	processx,R6,utils
caret	7.0-1		CRAN	ggplot2,lattice,e1071,foreach,grDevices,methods,ModelMetrics,nlme,plyr,pROC,recipes,reshape2,stats,stats4,utils,withr
cellranger	1.1.0		CRAN	rematch,tibble
class	7.3-23		CRAN	stats,utils,MASS
cli	3.6.5		CRAN	utils
clipr	0.8.0		CRAN	utils
clock	0.7.4		CRAN	cli,lifecycle,rlang,tzdb,vctrs,cpp11
cluster	2.1.8.1		CRAN	graphics,grDevices,stats,utils
codetools	0.2-20		CRAN	
colorspace	2.1-2		CRAN	methods,graphics,grDevices,stats
commonmark	2.0.0		CRAN	
conflicted	1.2.0		CRAN	cli,memoise,rlang
cpp11	0.5.3		CRAN	
crayon	1.5.3		CRAN	grDevices,methods,utils
crul	1.6.0		CRAN	curl,R6,urltools,httpcode,jsonlite,mime,rlang,lifecycle
data.table	1.18.0		CRAN	methods
dbi	NA		NOT-FOUND	
dbplyr	2.5.1		CRAN	blob,cli,DBI,dplyr,glue,lifecycle,magrittr,methods,pillar,purrr,R6,rlang,tibble,tidyr,tidyselect,utils,vctrs,withr
diagram	1.6.5		CRAN	shape,stats,graphics
digest	0.6.39		CRAN	utils
dplyr	1.1.4		CRAN	cli,generics,glue,lifecycle,magrittr,methods,pillar,R6,rlang,tibble,tidyselect,utils,vctrs
dtplyr	1.3.2		CRAN	cli,data.table,dplyr,glue,lifecycle,rlang,tibble,tidyselect,vctrs
e1071	1.7-17		CRAN	graphics,grDevices,class,stats,methods,utils,proxy
ellipsis	0.3.2		CRAN	rlang
essentials	ARCHIVED		CRAN-ARCHIVED	
evaluate	1.0.5		CRAN	
fansi	1.0.7		CRAN	grDevices,utils
farver	2.1.2		CRAN	
fastmap	1.2.0		CRAN	
fontawesome	0.5.3		CRAN	rlang,htmltools
forcats	1.0.1		CRAN	cli,glue,lifecycle,magrittr,rlang,tibble
foreach	1.5.2		CRAN	codetools,utils,iterators
foreign	0.8-90		CRAN	methods,utils,stats
formatr	NA		NOT-FOUND	
fs	1.6.6		CRAN	methods
