package	version	date	location	dependencies
askpass	1.2.1		CRAN	sys
assertthat	0.2.1		CRAN	tools
backports	1.5.0		CRAN	
base64enc	0.1-3		CRAN	
bit64	4.6.0-1		CRAN	bit,graphics,methods,stats,utils
bit	4.6.0		CRAN	
blob	1.3.0		CRAN	methods,rlang,vctrs
broom	1.0.11		CRAN	backports,cli,dplyr,generics,glue,lifecycle,purrr,rlang,stringr,tibble,tidyr
bslib	0.9.0		CRAN	base64enc,cachem,fastmap,grDevices,htmltools,jquerylib,jsonlite,lifecycle,memoise,mime,rlang,sass
cachem	1.1.0		CRAN	rlang,fastmap
callr	3.7.6		CRAN	processx,R6,utils
cellranger	1.1.0		CRAN	rematch,tibble
cli	3.6.5		CRAN	utils
clipr	0.8.0		CRAN	utils
colorspace	2.1-2		CRAN	methods,graphics,grDevices,stats
conflicted	1.2.0		CRAN	cli,memoise,rlang
cpp11	0.5.3		CRAN	
crayon	1.5.3		CRAN	grDevices,methods,utils
data.table	1.18.0		CRAN	methods
dbi	NA		NOT-FOUND	
dbplyr	2.5.1		CRAN	blob,cli,DBI,dplyr,glue,lifecycle,magrittr,methods,pillar,purrr,R6,rlang,tibble,tidyr,tidyselect,utils,vctrs,withr
digest	0.6.39		CRAN	utils
dplyr	1.1.4		CRAN	cli,generics,glue,lifecycle,magrittr,methods,pillar,R6,rlang,tibble,tidyselect,utils,vctrs
dtplyr	1.3.2		CRAN	cli,data.table,dplyr,glue,lifecycle,rlang,tibble,tidyselect,vctrs
ellipsis	0.3.2		CRAN	rlang
evaluate	1.0.5		CRAN	
fansi	1.0.7		CRAN	grDevices,utils
farver	2.1.2		CRAN	
fastmap	1.2.0		CRAN	
fontawesome	0.5.3		CRAN	rlang,htmltools
forcats	1.0.1		CRAN	cli,glue,lifecycle,magrittr,rlang,tibble
fs	1.6.6		CRAN	methods
gargle	1.6.0		CRAN	cli,fs,glue,httr,jsonlite,lifecycle,openssl,rappdirs,rlang,stats,utils,withr
generics	0.1.4		CRAN	methods
ggforce	0.5.0		CRAN	ggplot2,grid,scales,MASS,tweenr,gtable,rlang,polyclip,stats,grDevices,tidyselect,withr,utils,lifecycle,cli,vctrs,systemfonts,cpp11
ggplot2	4.0.1		CRAN	cli,grDevices,grid,gtable,isoband,lifecycle,rlang,S7,scales,stats,vctrs,withr
ggraph	2.2.2		CRAN	ggplot2,dplyr,ggforce,grid,igraph,scales,MASS,ggrepel,utils,stats,viridis,rlang,tidygraph,graphlayouts,withr,cli,vctrs,lifecycle,memoise,cpp11
ggrepel	0.9.6		CRAN	ggplot2,grid,Rcpp,rlang,scales,withr
glue	1.8.0		CRAN	methods
googledrive	2.1.2		CRAN	cli,gargle,glue,httr,jsonlite,lifecycle,magrittr,pillar,purrr,rlang,tibble,utils,uuid,vctrs,withr
googlesheets4	1.1.2		CRAN	cellranger,cli,curl,gargle,glue,googledrive,httr,ids,lifecycle,magrittr,methods,purrr,rematch2,rlang,tibble,utils,vctrs,withr
graphlayouts	1.2.2		CRAN	igraph,Rcpp,RcppArmadillo
gridextra	NA		NOT-FOUND	
gtable	0.3.6		CRAN	cli,glue,grid,lifecycle,rlang,stats
haven	2.5.5		CRAN	cli,forcats,hms,lifecycle,methods,readr,rlang,tibble,tidyselect,vctrs,cpp11
highr	0.11		CRAN	xfun
hms	1.1.4		CRAN	cli,lifecycle,methods,pkgconfig,rlang,vctrs
htmltools	0.5.9		CRAN	base64enc,digest,fastmap,grDevices,rlang,utils
htmlwidgets	1.6.4		CRAN	grDevices,htmltools,jsonlite,knitr,rmarkdown,yaml
httr	1.4.7		CRAN	curl,jsonlite,mime,openssl,R6
ids	1.0.1		CRAN	openssl,uuid
igraph	2.2.1		CRAN	methods,cli,graphics,grDevices,lifecycle,magrittr,Matrix,pkgconfig,rlang,stats,utils,vctrs,cpp11
isoband	0.3.0		CRAN	cli,grid,rlang,utils,cpp11
jquerylib	0.1.4		CRAN	htmltools
jsonlite	2.0.0		CRAN	methods
knitr	1.51		CRAN	evaluate,highr,methods,tools,xfun,yaml
labeling	0.4.3		CRAN	stats,graphics
lattice	0.22-7		CRAN	grid,grDevices,graphics,stats,utils
lifecycle	1.0.5		CRAN	cli,rlang
lubridate	1.9.4		CRAN	methods,generics,timechange
magrittr	2.0.4		CRAN	
mass	NA		NOT-FOUND	
matrix	NA		NOT-FOUND	
memoise	2.0.1		CRAN	rlang,cachem
mime	0.13		CRAN	tools
modelr	0.1.11		CRAN	broom,magrittr,purrr,rlang,tibble,tidyr,tidyselect,vctrs
munsell	0.5.1		CRAN	colorspace,methods
pillar	1.11.1		CRAN	cli,glue,lifecycle,rlang,utf8,utils,vctrs
pkgconfig	2.0.3		CRAN	utils
polyclip	1.10-7		CRAN	
prettyunits	1.2.0		CRAN	
processx	3.8.6		CRAN	ps,R6,utils
progress	1.2.3		CRAN	crayon,hms,prettyunits,R6
ps	1.9.1		CRAN	utils
purrr	1.2.1		CRAN	cli,lifecycle,magrittr,rlang,vctrs
r6	NA		NOT-FOUND	
ragg	1.5.0		CRAN	systemfonts,textshaping
rappdirs	0.3.4		CRAN	
rcolorbrewer	NA		NOT-FOUND	
