Package	Version	Source	RemoteType	RemoteRepo	RemoteUsername	RemoteRef	RemoteSha
abind	1.4-8	CRAN	NA	NA	NA	NA	NA
ade4	1.7-23	CRAN	NA	NA	NA	NA	NA
ASCAT	3.2.0	System/Manual	github	ascat	VanLoo-lab	HEAD	44ddd3080723a2c3640d1cfead13437a093c21d1
askpass	1.2.1	CRAN	NA	NA	NA	NA	NA
backports	1.5.0	CRAN	NA	NA	NA	NA	NA
base64enc	0.1-3	CRAN	NA	NA	NA	NA	NA
bayestestR	0.17.0	CRAN	NA	NA	NA	NA	NA
bbmle	1.0.25.1	CRAN	NA	NA	NA	NA	NA
bdsmatrix	1.3-7	CRAN	NA	NA	NA	NA	NA
BH	1.87.0-1	CRAN	NA	NA	NA	NA	NA
BiocGenerics	0.46.0	System/Manual	NA	NA	NA	NA	NA
BiocParallel	1.34.2	System/Manual	NA	NA	NA	NA	NA
Biostrings	2.68.1	System/Manual	NA	NA	NA	NA	NA
bit	4.6.0	CRAN	NA	NA	NA	NA	NA
bit64	4.6.0-1	CRAN	NA	NA	NA	NA	NA
bitops	1.0-9	CRAN	NA	NA	NA	NA	NA
blob	1.2.4	CRAN	NA	NA	NA	NA	NA
brew	1.0-10	CRAN	NA	NA	NA	NA	NA
brio	1.1.5	CRAN	NA	NA	NA	NA	NA
broom	1.0.11	CRAN	NA	NA	NA	NA	NA
broom.mixed	0.2.9.6	CRAN	NA	NA	NA	NA	NA
bslib	0.9.0	CRAN	NA	NA	NA	NA	NA
cachem	1.1.0	CRAN	NA	NA	NA	NA	NA
callr	3.7.6	CRAN	NA	NA	NA	NA	NA
carData	3.0-5	CRAN	NA	NA	NA	NA	NA
cellranger	1.1.0	CRAN	NA	NA	NA	NA	NA
cli	3.6.5	CRAN	NA	NA	NA	NA	NA
clipr	0.8.0	CRAN	NA	NA	NA	NA	NA
clisymbols	1.2.0	CRAN	NA	NA	NA	NA	NA
coda	0.19-4.1	CRAN	NA	NA	NA	NA	NA
collections	0.3.9	CRAN	NA	NA	NA	NA	NA
colorspace	2.1-2	CRAN	NA	NA	NA	NA	NA
commonmark	2.0.0	CRAN	NA	NA	NA	NA	NA
conflicted	1.2.0	CRAN	NA	NA	NA	NA	NA
corrplot	0.95	CRAN	NA	NA	NA	NA	NA
covr	3.6.5	CRAN	NA	NA	NA	NA	NA
cowplot	1.2.0	CRAN	NA	NA	NA	NA	NA
cpp11	0.5.2	CRAN	NA	NA	NA	NA	NA
crayon	1.5.3	CRAN	NA	NA	NA	NA	NA
credentials	2.0.3	CRAN	NA	NA	NA	NA	NA
curl	7.0.0	CRAN	NA	NA	NA	NA	NA
data.table	1.17.8	CRAN	NA	NA	NA	NA	NA
datawizard	1.3.0	CRAN	NA	NA	NA	NA	NA
DBI	1.2.3	CRAN	NA	NA	NA	NA	NA
dbplyr	2.5.1	CRAN	NA	NA	NA	NA	NA
Deriv	4.2.0	CRAN	NA	NA	NA	NA	NA
desc	1.4.3	CRAN	NA	NA	NA	NA	NA
devtools	2.4.6	CRAN	NA	NA	NA	NA	NA
diffobj	0.3.6	CRAN	NA	NA	NA	NA	NA
digest	0.6.39	CRAN	NA	NA	NA	NA	NA
dndscv	0.0.1.0	System/Manual	url	NA	NA	NA	NA
doBy	4.7.1	CRAN	NA	NA	NA	NA	NA
doParallel	1.0.17	CRAN	NA	NA	NA	NA	NA
downlit	0.4.5	CRAN	NA	NA	NA	NA	NA
dplyr	1.1.4	CRAN	NA	NA	NA	NA	NA
dtplyr	1.3.2	CRAN	NA	NA	NA	NA	NA
effectsize	1.0.1	CRAN	NA	NA	NA	NA	NA
ellipsis	0.3.2	CRAN	NA	NA	NA	NA	NA
evaluate	1.0.5	CRAN	NA	NA	NA	NA	NA
extrafont	0.20	CRAN	NA	NA	NA	NA	NA
extrafontdb	1.1	CRAN	NA	NA	NA	NA	NA
fansi	1.0.6	CRAN	NA	NA	NA	NA	NA
farver	2.1.2	CRAN	NA	NA	NA	NA	NA
fastmap	1.2.0	CRAN	NA	NA	NA	NA	NA
fontawesome	0.5.3	CRAN	NA	NA	NA	NA	NA
forcats	1.0.1	CRAN	NA	NA	NA	NA	NA
foreach	1.5.2	CRAN	NA	NA	NA	NA	NA
forecast	8.24.0	CRAN	NA	NA	NA	NA	NA
formatR	1.14	CRAN	NA	NA	NA	NA	NA
Formula	1.2-5	CRAN	NA	NA	NA	NA	NA
fracdiff	1.5-3	CRAN	NA	NA	NA	NA	NA
fs	1.6.6	CRAN	NA	NA	NA	NA	NA
furrr	0.3.1	CRAN	NA	NA	NA	NA	NA
futile.logger	1.4.3	CRAN	NA	NA	NA	NA	NA
futile.options	1.0.1	CRAN	NA	NA	NA	NA	NA
future	1.68.0	CRAN	NA	NA	NA	NA	NA
gargle	1.6.0	CRAN	NA	NA	NA	NA	NA
generics	0.1.4	CRAN	NA	NA	NA	NA	NA
GenomeInfoDb	1.36.4	System/Manual	NA	NA	NA	NA	NA
GenomeInfoDbData	1.2.10	System/Manual	NA	NA	NA	NA	NA
GenomicRanges	1.52.1	System/Manual	NA	NA	NA	NA	NA
gert	2.2.0	CRAN	NA	NA	NA	NA	NA
ggeffects	2.3.1	CRAN	NA	NA	NA	NA	NA
ggplot2	4.0.1	CRAN	NA	NA	NA	NA	NA
ggrepel	0.9.6	CRAN	NA	NA	NA	NA	NA
ggsci	4.1.0	CRAN	NA	NA	NA	NA	NA
ggsignif	0.6.4	CRAN	NA	NA	NA	NA	NA
ggthemes	5.2.0	CRAN	NA	NA	NA	NA	NA
gh	1.5.0	CRAN	NA	NA	NA	NA	NA
gitcreds	0.1.2	CRAN	NA	NA	NA	NA	NA
globals	0.18.0	CRAN	NA	NA	NA	NA	NA
glue	1.8.0	CRAN	NA	NA	NA	NA	NA
googledrive	2.1.2	CRAN	NA	NA	NA	NA	NA
googlesheets4	1.1.2	CRAN	NA	NA	NA	NA	NA
gridExtra	2.3	CRAN	NA	NA	NA	NA	NA
gridfit	0.1.0	System/Manual	NA	NA	NA	NA	NA
gtable	0.3.6	CRAN	NA	NA	NA	NA	NA
haven	2.5.5	CRAN	NA	NA	NA	NA	NA
highr	0.11	CRAN	NA	NA	NA	NA	NA
hms	1.1.4	CRAN	NA	NA	NA	NA	NA
htmltools	0.5.8.1	CRAN	NA	NA	NA	NA	NA
htmlwidgets	1.6.4	CRAN	NA	NA	NA	NA	NA
httpuv	1.6.16	CRAN	NA	NA	NA	NA	NA
httr	1.4.7	CRAN	NA	NA	NA	NA	NA
httr2	1.2.1	CRAN	NA	NA	NA	NA	NA
hunspell	3.0.6	CRAN	NA	NA	NA	NA	NA
ids	1.0.1	CRAN	NA	NA	NA	NA	NA
ini	0.3.1	CRAN	NA	NA	NA	NA	NA
insight	1.4.4	CRAN	NA	NA	NA	NA	NA
IRanges	2.34.1	System/Manual	NA	NA	NA	NA	NA
isoband	0.3.0	CRAN	NA	NA	NA	NA	NA
iterators	1.0.14	CRAN	NA	NA	NA	NA	NA
jquerylib	0.1.4	CRAN	NA	NA	NA	NA	NA
jsonlite	2.0.0	CRAN	NA	NA	NA	NA	NA
knitr	1.50	CRAN	NA	NA	NA	NA	NA
labeling	0.4.3	CRAN	NA	NA	NA	NA	NA
lambda.r	1.2.4	CRAN	NA	NA	NA	NA	NA
languageserver	0.3.16	CRAN	NA	NA	NA	NA	NA
later	1.4.4	CRAN	NA	NA	NA	NA	NA
lazyeval	0.2.2	CRAN	NA	NA	NA	NA	NA
lifecycle	1.0.4	CRAN	NA	NA	NA	NA	NA
lintr	3.2.0	CRAN	NA	NA	NA	NA	NA
listenv	0.10.0	CRAN	NA	NA	NA	NA	NA
lmtest	0.9-40	CRAN	NA	NA	NA	NA	NA
lubridate	1.9.4	CRAN	NA	NA	NA	NA	NA
magrittr	2.0.4	CRAN	NA	NA	NA	NA	NA
mapproj	1.2.12	CRAN	NA	NA	NA	NA	NA
maps	3.4.3	CRAN	NA	NA	NA	NA	NA
MatrixModels	0.5-4	CRAN	NA	NA	NA	NA	NA
memoise	2.0.1	CRAN	NA	NA	NA	NA	NA
microbenchmark	1.5.0	CRAN	NA	NA	NA	NA	NA
mime	0.13	CRAN	NA	NA	NA	NA	NA
miniUI	0.1.2	CRAN	NA	NA	NA	NA	NA
minqa	1.2.8	CRAN	NA	NA	NA	NA	NA
modelr	0.1.11	CRAN	NA	NA	NA	NA	NA
mvtnorm	1.3-3	CRAN	NA	NA	NA	NA	NA
numDeriv	2016.8-1.1	CRAN	NA	NA	NA	NA	NA
openssl	2.3.4	CRAN	NA	NA	NA	NA	NA
otel	0.2.0	CRAN	NA	NA	NA	NA	NA
